nombre,poblacion,superficie,continente
Argentina,45376763,2780400,america
Japon,125800000,377975,asia
Brasil,213993437,8515767,america
Alemania,83149300,357022,europa
Francia,67413000,551695,europa
Australia,27489000,7741220,oceania
Canadá,38008005,9984670,america
China,1411778724,9596961,asia
India,1393409038,3287263,asia
Estados Unidos,331893745,9833520,america
Reino Unido,68207116,243610,europa
Italia,59554023,301340,europa
Sudáfrica,60041996,1221037,africa
Egipto,109262178,1002450,africa
Nigeria,223804632,923769,africa
Mexico,128455567,1964375,america
Rusia,143449360,17098242,europa
España,47431256,505990,europa
Corea del Sur,51709098,100210,asia
Indonesia,276361783,1904569,asia
Arabia Saudita,36408820,2149690,asia
Chile,19751300,756102,america
Suecia,10415811,450295,europa
Nueva Zelanda,5185288,268838,oceania
